Lp.,Tytuł,Autor,Seria,Tom,Wydawnictwo,Liczba stron,Okładka,Przeczytane
120,"""Znak Ateny""",Riordan Rick,Olimpijscy herosi,3,Galeria Ksiązki,525,miękka,nie
121,"""Dom Hadesa""",Riordan Rick,Olimpijscy herosi,4,Galeria Ksiązki,589,miękka,nie
122,"""Krew Olimpu""",Riordan Rick,Olimpijscy herosi,5,Galeria Ksiązki,474,miękka,nie
123,"""Krew i miód""",Mahurin Shelby,,2,We need YA,504,miękka,nie
124,"""Bogowie i potwory""",Mahurin Shelby,,3,We need YA,584,miękka,nie
125,"""Siostra gwiazd""",Marah Woolf,Trzy czarownice,1,Jaguar,444,miękka,nie
126,"""Piesń o Achillesie""",,,,,374,twarda,nie
127,"""Żniwiarz - Pusta noc""",Hendel Paulina,Żniwiarz,1,We need YA,431,miękka,nie
128,"""Żniwiarz - Czerwone słońce""",Hendel Paulina,Żniwiarz,2,We need YA,431,miękka,nie
129,"""It ends with us""",Colleen Hoover,,1,,351,miękka,nie
130,"""It starts with us""",Colleen Hoover,,,,329,miękka,nie
131,"""Czarna śmierć""",Susan Scott & Christopher Duncan,,,,310,miękka,nie
132,"""Hopeless""",Colleen Hoover,,,Moondrive,377,miękka,nie
133,"""Pandemia kłamstw""",Judy Mikovits & Kent Heckenlively,,,,349,miękka,nie
134,"""Normalni ludzie""",Sally Rooney,,,Wab,301,miękka,nie
135,"""Morderstwo w Boże Narodzenie""",Agatha Christie,,,Wydawnictwo Dolnośląskie,229,twarda,nie
136,"""Tego lata stałam się piękna""",Jenny Han,Lato,1,,302,miękka,nie
137,"""Bez ciebie nie ma lata""",Jenny Han,Lato,2,,304,miękka,nie
138,"""Dla nas zawsze będzie lato""",Jenny Han,Lato,3,,,miękka,nie
139,"""Dwór szronu i blasku gwiazd""",Sarah J. Maas,Dwory,,Uroboros,313,miękka,nie
140,"""Szklany tron""",Sarah J. Maas,Szklany tron,,Uroboros,512,miękka,nie
141,"""Korona w mroku""",Sarah J. Maas,Szklany tron,,,492,miękka,nie
142,"""Red, white & royal blue""",Casey McQuiston,,,,473,miękka,nie
143,"""Dom ziemii i krwii cz. 1""",Sarah J. Maas,Księżycowe miasto,1,Uroboros,557,miękka,nie
144,"""Dom ziemii i krwii cz. 2""",Sarah J. Maas,Księżycowe miasto,1,Uroboros,616,miękka,nie
145,"""Dziewczyna której nie zauważał 2""",Neilani Alejandrino,,,Editio,219,miękka,nie
146,"""Zimne wody wenisany""",Linor Goralik,,,,183,twarda,nie
147,"""Opowiem o tobie gwiazdom""",Edyta Prusinowska,,,,308,miękka,nie
148,"""Od ognia piekielnego""",Paulina Cedlerska,,,,318,miękka,nie
149,"""Od ognia piekielnego""",,,,,,,nie
